Country,LastUpdate,Category,Indicator (text in app),value
AUT,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
BGR,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HRV,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CYP,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DNK,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
EST,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
DEU,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
GRC,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
IRL,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
LVA,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
ROU,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVK,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
PRT,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
SWE,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
ESP,15.06.2020 20:15,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
AUT,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
BGR,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HRV,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CYP,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DNK,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
EST,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
DEU,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
GRC,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
IRL,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
LVA,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ROU,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVK,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,16.06.2020 18:20,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
BEL,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
AUT,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HRV,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CYP,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DNK,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
EST,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
DEU,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
GRC,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
IRL,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
LVA,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ROU,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVK,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,17.06.2020 0:34,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
BEL,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
AUT,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HRV,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CYP,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DNK,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
EST,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
DEU,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
GRC,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
IRL,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
LVA,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ROU,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVK,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SVN,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ESP,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
SWE,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CHE,18.06.2020 11:01,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BEL,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
AUT,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
BGR,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HRV,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
CYP,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
CZE,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
DNK,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
EST,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FIN,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
FRA,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
DEU,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
GRC,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
HUN,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
IRL,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ITA,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
LVA,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LTU,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
LUX,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
MLT,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
NLD,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
POL,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,Y
PRT,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
ROU,21.06.2020 18:00,Travel,From within the EU/EEA may I enter or exit this country for tourism? ,WL
